Westphal-BX59            0  0.140          160           74   1.2010703e+10     174.3750916
Westphal-BX606            0  0.100         3000           13   4.1780449e+10     322.6719055
Westphal-BX610            0  0.060          321           16   5.3004549e+09      82.4798050
Westphal-BX66            0  0.100          160           55   8.9433754e+09      96.5992661
Westphal-BX84            0  0.150           10          174   1.7404436e+09      24.2611179
Westphal-BX94            0  0.100          404           27   1.0987419e+10     180.2081757
Westphal-CC1            0  0.100           10          134   1.3435857e+09       8.9165773
Westphal-CC10            0  0.000          202            8   1.7255828e+09       2.1905727
Westphal-CC11            0  0.020          202           15   3.0761157e+09      10.2799683
Westphal-CC12            0  0.050          127            9   1.2605476e+09      44.2262802
Westphal-CC13            0  0.090           10          252   2.5214848e+09      28.0716038
Westphal-CC14            0  0.150          160           46   7.5534162e+09     213.1286469
Westphal-CC15            0  0.100          160           48   7.7590912e+09     108.9477844
Westphal-CC16            0  0.130           10           81   8.1442752e+08      76.0426254
Westphal-CC17            0  0.090           19           69   1.3895150e+09      36.7100563
Westphal-CC18            0  0.030          127           18   2.4080650e+09      15.3150463
Westphal-CC2            0  0.090           40           52   2.0807114e+09      24.0482044
Westphal-CC23            0  0.070           40           44   1.7827442e+09      27.9639816
Westphal-CC24            0  0.110          160           76   1.2234010e+10     109.2894287
Westphal-CC25            0  0.080          127           18   2.4128300e+09      61.3351974
Westphal-CC26            0  0.030           80           10   8.3239846e+08       5.4731669
Westphal-CC29            0  0.060           25           22   5.7396006e+08      22.5567532
Westphal-CC3            0  0.070           50           18   9.0638330e+08       4.1781125
Westphal-CC30            0  0.120           10           65   6.5253626e+08      69.2606888
Westphal-CC31            0  0.100          321           28   9.1384873e+09     167.5195312
Westphal-CC32            0  0.040          160           34   5.5762243e+09      65.1336288
Westphal-CC33            0  0.030          101            9   9.8852966e+08       2.7300346
Westphal-CC35            0  0.090           80           24   2.0159532e+09      41.9982681
Westphal-CC36            0  0.090           10           29   2.9046877e+08       4.3497391
Westphal-CC37            0  0.060          321           39   1.2520971e+10     158.1840820
Westphal-CC38            0  0.100          160           46   7.4785275e+09      92.2037354
Westphal-CC39            0  0.120          160           35   5.7180744e+09     146.2891541
Westphal-CC40            0  0.090           25           62   1.5675768e+09      49.8323669
Westphal-CC41            0  0.000          255            9   2.5199657e+09     101.3249359
Westphal-CC42            0  0.070          202           13   2.7703770e+09      83.5081558
Westphal-CC43            0  0.050         2000           15   3.1867320e+10     164.8897705
Westphal-CC44            0  0.030          160           10   1.7562957e+09      12.4452105
Westphal-CC45            0  0.130          321           32   1.0567103e+10     195.6028290
Westphal-CC46            0  0.070          127           70   8.9683507e+09      51.2211227
Westphal-CC47            0  0.090          321           34   1.1230618e+10     114.9770355
Westphal-CC48            0  0.000          160            4   7.3543462e+08       6.6291437
Westphal-CC49            0  0.140          508           38   1.9422958e+10     354.8859253
Westphal-CC5            0  0.090           10           41   4.1707312e+08       2.3962345
