Westphal-BX557         5000  0.110          160           46   7.3103237e+09     105.7691803
Westphal-BX59          200  0.130         3000           70   1.4039541e+10     174.3593445
Westphal-BX606         5000  0.110         3000           16   3.6545221e+10     324.5959167
Westphal-BX610         1000  0.060          321           17   4.8260326e+09      81.7656250
Westphal-BX66         1000  0.100          160           57   8.5881344e+09      96.3789673
Westphal-BX84          100  0.120           50           84   3.3387940e+09      40.4335823
Westphal-BX94         1000  0.070         3000           20   1.9457413e+10     171.9891968
Westphal-CC1          100  0.080           50           72   2.8368453e+09      13.1448250
Westphal-CC10          200  0.000         2000            9   1.8811645e+09       1.8850746
Westphal-CC11         5000  0.030          160           17   2.7647916e+09      10.3065367
Westphal-CC12         5000  0.050          127            9   1.2490679e+09      44.2563171
Westphal-CC13          100  0.070           50          136   5.3588444e+09      33.0083504
Westphal-CC14         5000  0.150          160           47   7.5151729e+09     213.1536102
Westphal-CC15         2000  0.100          160           48   7.5439601e+09     108.8711472
Westphal-CC16          100  0.110           50           44   1.7327982e+09      82.8928146
Westphal-CC17          100  0.080           50           54   2.1619566e+09      41.6910744
Westphal-CC18         2000  0.030          127           19   2.3533609e+09      15.3086376
Westphal-CC2         5000  0.080           50           44   2.2263168e+09      24.2539368
Westphal-CC23          200  0.070           50           44   1.9819258e+09      28.2435246
Westphal-CC24         5000  0.110          160           76   1.2174214e+10     109.3048553
Westphal-CC25         1000  0.080          160           18   2.7432000e+09      61.3843002
Westphal-CC26          500  0.030           80           10   7.9644211e+08       5.3913846
Westphal-CC29          100  0.050           50           19   7.6263142e+08      23.5293846
Westphal-CC3         5000  0.070           50           18   9.0444992e+08       4.1828489
Westphal-CC30          100  0.100           50           34   1.3552657e+09      73.7946167
Westphal-CC31          500  0.090         2000           26   1.2950487e+10     162.0706024
Westphal-CC32         1000  0.040          202           34   6.2643072e+09      65.0113373
Westphal-CC33         5000  0.030          101            9   9.8425971e+08       2.7350178
Westphal-CC35         1000  0.090           80           25   1.9797153e+09      41.9612885
Westphal-CC36          100  0.070           50           15   6.1392698e+08       5.6852574
Westphal-CC37         5000  0.060          321           39   1.2327555e+10     158.3053436
Westphal-CC38         2000  0.100          160           47   7.3125263e+09      92.2060776
Westphal-CC39         1000  0.120          160           36   5.4611963e+09     145.9979248
Westphal-CC40          100  0.080           50           52   2.0700255e+09      51.5235825
Westphal-CC41         1000  0.000          321            9   2.7358175e+09     101.1526108
Westphal-CC42          200  0.070         1609           14   2.9883387e+09      83.3703995
Westphal-CC43         2000  0.070         2000           20   2.6329041e+10     163.9641724
Westphal-CC44          100  0.040         1278           14   1.4057725e+09      12.3621616
Westphal-CC45          500  0.120         2000           30   1.5163807e+10     192.9664001
Westphal-CC46         5000  0.070          127           70   8.9330125e+09      51.3001366
Westphal-CC47          500  0.080         2000           32   1.6067467e+10     113.5265427
Westphal-CC48          200  0.000          806            4   9.4913357e+08       6.0772943
Westphal-CC49         1000  0.120         2000           33   2.8644143e+10     346.3463440
Westphal-CC5          100  0.070           50           22   8.8236314e+08       3.8777308
Westphal-CC50         5000  0.120         2000           72   1.1984168e+11     443.1216736
Westphal-CC51         1000  0.070         1609           14   1.1879324e+10     174.4629517
Westphal-CC52         1000  0.090         2000           14   1.2454001e+10     208.7897186
Westphal-CC53          100  0.100          127           27   1.9543675e+09      61.7644730
Westphal-CC54          200  0.020         1015           29   5.8804460e+09       8.0282145
Westphal-CC55          100  0.120           50           86   3.4173166e+09      66.9993820
Westphal-CC56         5000  0.060           80            9   7.3982086e+08      14.0324259
Westphal-CC57          200  0.070         1609           31   6.2390825e+09      83.8683853
Westphal-CC58         2000  0.090         2000           29   3.7488439e+10     309.7590332
Westphal-CC59          100  0.070           50           18   7.3594566e+08       9.0258102
Westphal-CC6          200  0.090           50           37   1.6693041e+09      28.6575546
Westphal-CC60         1000  0.060         1609           16   1.2936143e+10     138.5119324
Westphal-CC61          100  0.090           50           76   3.0051832e+09      30.6277599
Westphal-CC62          100  0.070          202           18   1.5936915e+09      41.2287521
Westphal-CC63         5000  0.180           50          142   7.1007401e+09     167.0481110
Westphal-CC66         5000  0.020          255            7   1.7753505e+09      44.4857712
Westphal-CC68          500  0.080         2000           41   2.0210174e+10     132.9976196
Westphal-CC69         1000  0.070         2000           28   2.4766923e+10     186.2873993
Westphal-CC70          500  0.060         2000           43   2.1120080e+10      97.1849518
Westphal-CC73          100  0.060           50           22   8.8713741e+08       5.8070216
Westphal-CC75          100  0.060           50           17   7.0649075e+08       5.5013585
Westphal-CC76          100  0.090           50           95   3.7669158e+09      37.2058411
Westphal-CC78          500  0.070          404           25   7.0828452e+09      71.2309189
Westphal-CC79         5000  0.130         2000            7   1.2017763e+10     541.0487671
Westphal-CC8          200  0.100         2000           78   1.5729277e+10     168.8218994
Westphal-DD1         2000  0.030          101           11   1.1620832e+09       1.3114032
Westphal-DD10          100  0.080           50           22   8.9764326e+08      70.0005417
Westphal-DD11          100  0.080           50           30   1.2135804e+09       7.4416533
Westphal-DD12          100  0.080           50           29   1.1540364e+09      12.9939709
Westphal-DD14          500  0.070          202           31   5.2873851e+09      63.3448944
Westphal-DD15          100  0.110           50           84   3.3096356e+09      33.9179916
Westphal-DD16         1000  0.060           64           21   1.3413129e+09      22.7722664
Westphal-DD18         5000  0.110           50           50   2.5361925e+09      87.3120880
Westphal-DD19         5000  0.070           50           39   1.9796026e+09      15.4193306
Westphal-DD2          100  0.080           50           30   1.1830720e+09       6.8226290
Westphal-DD20         5000  0.100          160          104   1.6471735e+10     104.3285522
Westphal-DD22         5000  0.030          202           10   2.0954529e+09      31.7233105
Westphal-DD23         5000  0.110           64           43   2.7644378e+09      51.7409019
Westphal-DD24          100  0.070           50           21   8.6397542e+08      13.2740431
Westphal-DD25          200  0.050         2000           18   3.6178857e+09      31.0338249
Westphal-DD27         1000  0.060          160           24   3.6433613e+09      75.0895309
Westphal-DD28          500  0.070         2000           34   1.6972429e+10     107.3143692
Westphal-DD29         5000  0.020         1609           13   1.8980792e+10     150.9901886
Westphal-DD30          100  0.060           50           17   7.0431418e+08       7.8554454
Westphal-DD31         5000  0.110          160           28   4.4584806e+09     150.1597748
Westphal-DD33          100  0.110           50           61   2.4053117e+09      33.9508705
