         500  0.000         1609            8   1.0599657e+11      12.1224365
         500  0.010         1609            9   1.1393026e+11      12.1584311
        1000  0.060         2000           19   1.2276328e+11      12.3505135
        1000  0.050         2000           17   1.1470713e+11      12.4052315
         500  0.020         1609           10   1.2270758e+11      13.7101479
        1000  0.070         2000           20   1.3243642e+11      13.7885809
         500  0.040         1278           14   8.6066192e+10      13.8588591
        1000  0.040         2000           16   1.0675450e+11      13.9608116
         500  0.050         1278           15   9.2347376e+10      14.0736780
         500  0.030         1278           13   7.9834956e+10      15.1381550
        1000  0.070         1609           22   9.0873160e+10      15.2325935
        1000  0.080         1609           24   9.7746977e+10      15.2580385
         500  0.060         1278           16   9.9021709e+10      15.7847462
         200  0.000          806            6   6.8446974e+10      16.4416428
        2000  0.090         2000           29   1.0069290e+11      16.5762978
        1000  0.060         1609           21   8.4740809e+10      16.7073364
        1000  0.080         2000           22   1.4242882e+11      16.7162743
         500  0.030         1609           10   1.3173749e+11      16.7640610
        1000  0.090         1609           26   1.0493086e+11      16.7641239
         200  0.010          806            6   7.3799238e+10      16.8812218
        1000  0.030         2000           15   9.9168166e+10      17.0181408
        2000  0.100         2000           31   1.0834376e+11      17.3018780
        2000  0.080         2000           27   9.3378281e+10      17.3362465
         500  0.020         1278           12   7.4358120e+10      17.9299355
         200  0.020          806            7   7.9425675e+10      18.8166885
         500  0.080         1015           22   7.5889893e+10      18.8557510
         500  0.070         1278           17   1.0647449e+11      18.9758453
         500  0.070         1015           21   7.0522757e+10      19.1486130
        1000  0.090         1278           28   7.4846585e+10      19.4223709
        2000  0.110         2000           33   1.1611761e+11      19.4976902
        2000  0.100         1609           33   8.1805918e+10      19.5441837
        2000  0.070         2000           25   8.6942941e+10      19.5791473
        1000  0.100         1278           31   8.0412713e+10      19.5853729
        1000  0.050         1609           19   7.8895358e+10      19.6715012
        1000  0.100         1609           28   1.1290943e+11      19.7438087
         200  0.050          640           12   5.9467702e+10      19.8787804
         500  0.090         1015           24   8.1760412e+10      20.0393581
        2000  0.110         1609           35   8.7811457e+10      20.0771008
        5000  0.110         2000           37   9.1679465e+10      20.1240959
         200  0.060          640           13   6.3699489e+10      20.3854046
        5000  0.100         2000           34   8.5350515e+10      20.3964500
        2000  0.090         1609           30   7.6093202e+10      20.4904747
        1000  0.080         1278           26   6.9554004e+10      20.7314682
         200  0.040          640           11   5.5438352e+10      20.8518333
         500  0.060         1015           19   6.5855033e+10      20.9370995
         100  0.000          508            3   5.3212254e+10      20.9467545
        1000  0.090         2000           23   1.5268050e+11      21.1238708
        1000  0.110         1278           33   8.6098280e+10      21.2284966
         500  0.040         1609           11   1.4097950e+11      21.3198605
        5000  0.120         2000           40   9.8367939e+10      21.3217678
        1000  0.020         2000           14   9.2061295e+10      21.5935173
        2000  0.120         1609           38   9.4520287e+10      22.0754833
        5000  0.090         2000           32   7.9416951e+10      22.1543274
         100  0.010          508            3   5.6965612e+10      22.2177429
         500  0.010         1278           11   6.9105844e+10      22.2284698
         200  0.030          806            7   8.5071331e+10      22.2342148
         200  0.070          640           14   6.8557119e+10      22.3666687
