          20  0.140           10           18   2.3697405e+08      79.8383026
         500  0.140           15           19   2.9242166e+08      79.9342804
        5000  0.140           15           19   2.9149565e+08      79.9343109
         200  0.140           15           18   2.9366342e+08      79.9362793
        1000  0.140           15           19   2.9199654e+08      79.9422836
        2000  0.140           15           19   2.9135882e+08      79.9424973
        2000  0.140           15           19   2.9178842e+08      79.9431381
        5000  0.140           15           19   2.9166019e+08      79.9434662
         500  0.140           15           19   2.9067888e+08      79.9451675
        1000  0.140           15           19   2.9112093e+08      79.9453201
         200  0.140           15           19   2.8933642e+08      79.9470520
           0  0.140           15           19   2.9156902e+08      79.9484406
         100  0.140           15           18   2.9579942e+08      79.9569702
         100  0.140           15           20   2.8712784e+08      79.9672775
          10  0.140           10           14   2.4599643e+08      79.9760818
          50  0.140           10           21   2.3444621e+08      79.9849167
          50  0.140           15           16   3.0024112e+08      79.9982147
          10  0.130           15            9   3.2020064e+08      80.0027542
         100  0.140           10           22   2.3370382e+08      80.0708237
         100  0.130           40           14   4.6987725e+08      80.1073685
         200  0.140           10           22   2.3334456e+08      80.1208649
        5000  0.130           30           13   4.1751024e+08      80.1408844
        1000  0.130           30           13   4.1929613e+08      80.1423340
         500  0.130           30           13   4.2150701e+08      80.1450043
         100  0.140           19           18   3.3301830e+08      80.1471176
         500  0.130           30           14   4.1258474e+08      80.1504745
         200  0.130           30           13   4.2829690e+08      80.1505432
        2000  0.130           30           13   4.1815606e+08      80.1505737
           0  0.130           30           13   4.1704394e+08      80.1514664
        2000  0.130           30           13   4.1591526e+08      80.1514740
        1000  0.130           30           14   4.1479392e+08      80.1517792
         500  0.140           10           23   2.3313856e+08      80.1521683
        5000  0.130           30           13   4.1660618e+08      80.1522064
         100  0.130           30           12   4.4730330e+08      80.1654434
        1000  0.140           10           23   2.3306299e+08      80.1733017
        5000  0.140           10           23   2.3300270e+08      80.1820221
           0  0.140           10           23   2.3300360e+08      80.1835403
         200  0.130           30           14   4.0595779e+08      80.1848526
         200  0.130           40           13   4.8935136e+08      80.1869965
        2000  0.140           10           23   2.3300875e+08      80.1874466
        5000  0.140           10           23   2.3295958e+08      80.1946411
        2000  0.140           10           23   2.3294250e+08      80.1950989
        1000  0.140           10           23   2.3290381e+08      80.1971664
          50  0.130           25           12   4.0202205e+08      80.2003708
         200  0.140           19           17   3.3752662e+08      80.2052612
          20  0.130           19           10   3.7388282e+08      80.2097778
         500  0.140           10           23   2.3278544e+08      80.2166672
         100  0.130           25           13   3.8593834e+08      80.2319641
          50  0.130           30           11   4.7257206e+08      80.2326279
         200  0.140           10           23   2.3250155e+08      80.2440567
         500  0.140           19           17   3.4028096e+08      80.2447891
         100  0.130           30           15   3.9532704e+08      80.2591019
        1000  0.140           19           17   3.4122624e+08      80.2596741
         500  0.130           40           13   5.0982141e+08      80.2609100
        2000  0.140           19           17   3.4168931e+08      80.2670822
        1000  0.130           40           13   5.1409344e+08      80.2734680
        5000  0.140           19           17   3.4195194e+08      80.2742691
        2000  0.140           19           17   3.4260000e+08      80.2781830
           0  0.140           19           17   3.4215843e+08      80.2827225
        5000  0.140           19           17   3.4232118e+08      80.2866974
        2000  0.130           40           13   5.1622195e+08      80.2881088
        5000  0.130           40           12   5.1754125e+08      80.2947693
        1000  0.140           19           17   3.4303584e+08      80.2973022
           0  0.130           40           12   5.1837805e+08      80.2987518
         200  0.130           25           14   3.7818845e+08      80.2997971
         500  0.140           19           16   3.4395059e+08      80.3045959
        2000  0.130           40           12   5.2052371e+08      80.3106995
        5000  0.130           40           12   5.1921072e+08      80.3118210
         100  0.140           10           24   2.3202882e+08      80.3258743
        1000  0.130           40           12   5.2267229e+08      80.3260880
         200  0.140           19           16   3.5235254e+08      80.3382721
          20  0.140           15           13   3.1456790e+08      80.3385696
         500  0.130           25           14   3.7370838e+08      80.3389130
          20  0.120           30            7   5.2369206e+08      80.3398819
        1000  0.130           25           14   3.7222243e+08      80.3543243
         500  0.130           40           12   5.2701171e+08      80.3586044
        2000  0.130           25           14   3.7147725e+08      80.3637161
         100  0.130           50           13   5.3557366e+08      80.3642273
        5000  0.130           25           14   3.7104371e+08      80.3692856
           0  0.130           25           14   3.7075469e+08      80.3703995
          20  0.130           25            9   4.6346765e+08      80.3734207
        5000  0.130           25           14   3.7045341e+08      80.3796997
        2000  0.130           25           14   3.7001146e+08      80.3820267
         100  0.150           10           26   2.5158912e+08      80.3885956
        1000  0.130           25           14   3.6924630e+08      80.3973160
         100  0.140           19           16   3.5704710e+08      80.4021149
          10  0.120           25            4   5.3223667e+08      80.4030228
          50  0.120           40            9   5.6617850e+08      80.4059830
         200  0.120           50           10   5.9326074e+08      80.4150620
         500  0.130           25           15   3.6776077e+08      80.4206848
          10  0.130           19            6   4.3069914e+08      80.4276657
         200  0.150           10           25   2.5210314e+08      80.4433670
         500  0.120           50           10   5.7339066e+08      80.4447861
         200  0.120           64           11   6.2146112e+08      80.4494934
         200  0.130           40           12   5.4033677e+08      80.4600372
        1000  0.120           50           11   5.6699930e+08      80.4649429
         500  0.150           10           25   2.5243024e+08      80.4720840
         200  0.130           25           15   3.6331958e+08      80.4796371
        2000  0.120           50           11   5.6382995e+08      80.4810410
         100  0.140           25           17   3.8612525e+08      80.4850845
        1000  0.150           10           25   2.5253749e+08      80.4857025
          50  0.130           19           13   3.3828346e+08      80.4873505
        2000  0.150           10           25   2.5260248e+08      80.4920197
        5000  0.150           10           25   2.5261909e+08      80.4962463
        5000  0.120           50           11   5.6189658e+08      80.4963226
         100  0.120           50            9   6.2823853e+08      80.4971695
