         100  0.190           10           98   9.3657760e+08     113.3472290
         200  0.190           10           96   9.3645126e+08     113.5861359
         500  0.190           10           94   9.3641242e+08     113.7458191
        1000  0.190           10           94   9.3640742e+08     113.8122864
        2000  0.190           10           93   9.3643424e+08     113.8326187
        5000  0.190           10           93   9.3641613e+08     113.8460541
        5000  0.190           10           93   9.3637485e+08     113.8613052
           0  0.190           10           93   9.3640877e+08     113.8644867
        2000  0.190           10           93   9.3632102e+08     113.8812408
        1000  0.190           10           93   9.3627162e+08     113.9154739
         500  0.190           10           92   9.3612288e+08     113.9584503
         200  0.190           10           94   9.6438323e+08     114.1306458
         100  0.180           10           89   8.5288390e+08     114.1516647
         100  0.200           10          111   1.0593638e+09     114.1709747
         200  0.180           10           87   8.5265478e+08     114.2754211
         100  0.190           10           91   9.6386362e+08     114.2885971
         500  0.180           10           86   8.5252294e+08     114.3657837
        1000  0.180           10           85   8.5252211e+08     114.3920135
         200  0.200           10          108   1.0620666e+09     114.4216461
        2000  0.180           10           85   8.5253363e+08     114.4222260
        5000  0.180           10           85   8.5248653e+08     114.4268723
        5000  0.180           10           85   8.5244019e+08     114.4370575
           0  0.180           10           85   8.5249901e+08     114.4395905
        2000  0.180           10           85   8.5240813e+08     114.4488754
        1000  0.180           10           84   8.5232762e+08     114.4660568
         500  0.180           10           84   8.5216602e+08     114.4879990
         500  0.200           10          107   1.0637070e+09     114.5767365
         200  0.180           10           83   8.5172864e+08     114.5881424
        1000  0.200           10          106   1.0642891e+09     114.6432266
          50  0.190           10           86   9.6294189e+08     114.6532593
        2000  0.200           10          106   1.0645442e+09     114.6656189
        5000  0.200           10          106   1.0647093e+09     114.6782913
           0  0.200           10          106   1.0648068e+09     114.6927795
        5000  0.200           10          106   1.0649806e+09     114.6957092
        2000  0.200           10          106   1.0650668e+09     114.7171860
        1000  0.200           10          105   1.0652351e+09     114.7412033
         100  0.180           10           80   8.5106970e+08     114.7896042
         500  0.200           10          105   1.0657186e+09     114.7977524
         200  0.200           10          104   1.0669813e+09     114.9601669
          50  0.180           10           79   8.7581587e+08     115.1845856
         100  0.200           10          101   1.0691005e+09     115.2261581
          50  0.200           10           96   1.0737149e+09     115.7686691
          20  0.180           10           67   8.7359699e+08     116.1083298
          20  0.190           10           74   9.6126406e+08     116.1973267
         100  0.210           10          123   1.1740308e+09     116.3136444
         100  0.170           10           79   7.5545606e+08     116.5335541
         200  0.210           10          120   1.1768329e+09     116.6214371
         500  0.170           10           78   7.7738810e+08     116.6251526
         200  0.170           10           79   7.7754669e+08     116.6283417
        2000  0.170           10           77   7.7729434e+08     116.6382751
        5000  0.170           10           77   7.7726925e+08     116.6410065
        5000  0.170           10           77   7.7729203e+08     116.6423798
           0  0.170           10           77   7.7725229e+08     116.6435394
        1000  0.170           10           77   7.7709824e+08     116.6437454
        1000  0.170           10           78   7.7734150e+08     116.6472244
        2000  0.170           10           77   7.7720576e+08     116.6510391
         500  0.170           10           76   7.7695603e+08     116.6677170
         200  0.170           10           75   7.7649248e+08     116.6931763
         100  0.170           10           73   7.7578957e+08     116.7528992
         500  0.210           10          119   1.1785774e+09     116.8135300
        1000  0.210           10          118   1.1791953e+09     116.8876572
        2000  0.210           10          118   1.1795412e+09     116.9226532
        5000  0.210           10          118   1.1796434e+09     116.9335861
           0  0.210           10          117   1.1797435e+09     116.9532776
        5000  0.210           10          117   1.1798993e+09     116.9580994
          50  0.170           10           69   7.7452877e+08     116.9712143
        2000  0.210           10          117   1.1800233e+09     116.9818344
        1000  0.210           10          117   1.1801631e+09     117.0145264
         500  0.210           10          116   1.1806753e+09     117.0705109
         200  0.210           10          115   1.1820355e+09     117.2798157
         100  0.180           15           74   1.0516266e+09     117.4859543
          20  0.200           10           83   1.0887770e+09     117.4961548
          20  0.170           10           61   7.9516576e+08     117.6001663
         100  0.210           10          112   1.1842582e+09     117.6076355
         100  0.190           15           82   1.1591233e+09     117.6130524
         200  0.180           15           72   1.0566950e+09     117.7716370
         500  0.180           15           71   1.0597740e+09     117.9510574
        1000  0.180           15           70   1.0608109e+09     118.0170212
          10  0.180           10           52   9.0082010e+08     118.0221634
         200  0.190           15           79   1.1649495e+09     118.0278931
        2000  0.180           15           70   1.0613731e+09     118.0563354
           0  0.180           15           70   1.0618659e+09     118.0757675
        5000  0.180           15           70   1.0616317e+09     118.0767746
        5000  0.180           15           70   1.0620781e+09     118.1045303
        2000  0.180           15           69   1.0622977e+09     118.1098785
        1000  0.180           15           69   1.0628175e+09     118.1540756
